CustomerID,total_net_rev,total_net_quantity,num_orders,avg_rev_per_order,avg_qty_per_order,num_unique_items_bought,relationship_length_days,time_since_last_order_days,average_time_between_orders_days,num_refunds,engagement_score
12347.0,4310.0,2458.0,7.0,615.7142857142857,351.14285714285717,103.0,365.0,1.0,2.0,0.0,0.6279946472320413
12348.0,1797.24,2341.0,4.0,449.31,585.25,22.0,282.0,74.0,9.4,0.0,0.2962051657902279
12349.0,1757.55,631.0,1.0,1757.55,631.0,73.0,,18.0,,0.0,0.8975439962833924
12350.0,334.4,197.0,1.0,334.4,197.0,17.0,,309.0,,0.0,-0.28394910786237737
12352.0,1545.41,470.0,5.0,309.082,94.0,58.0,260.0,35.0,3.185185185185185,7.0,0.007102690564833361
12353.0,89.0,20.0,1.0,89.0,20.0,4.0,,203.0,,0.0,-0.5775039476574689
12354.0,1079.4,530.0,1.0,1079.4,530.0,58.0,,231.0,,0.0,0.45164189350092104
12355.0,459.4,240.0,1.0,459.4,240.0,13.0,,213.0,,0.0,-0.20245810024515076
12356.0,2811.43,1591.0,3.0,937.1433333333333,530.3333333333334,53.0,302.0,22.0,5.206896551724138,0.0,0.5287853325260656
12357.0,6207.67,2708.0,1.0,6207.67,2708.0,131.0,,32.0,,0.0,4.813199610433478
12358.0,1168.06,248.0,2.0,584.03,124.0,13.0,149.0,1.0,8.277777777777779,0.0,-0.24939601175080597
12359.0,6245.53,1612.0,4.0,1561.3825,403.0,214.0,274.0,57.0,1.105263157894737,6.0,1.0411140531355452
12360.0,2662.06,1165.0,3.0,887.3533333333334,388.3333333333333,105.0,148.0,51.0,1.15625,0.0,0.2720292520642113
12361.0,189.9,91.0,1.0,189.9,91.0,10.0,,286.0,,0.0,-0.4562790393999727
12362.0,5154.58,2212.0,10.0,515.458,221.2,201.0,292.0,2.0,1.0830188679245283,8.0,0.6892308130109439
12363.0,552.0,408.0,2.0,276.0,204.0,23.0,132.0,109.0,6.0,0.0,-0.32302993975442384
12364.0,1313.1,1506.0,4.0,328.275,376.5,70.0,104.0,7.0,1.2261904761904763,0.0,-0.08105495604889645
12367.0,168.9,173.0,1.0,168.9,173.0,11.0,,3.0,,0.0,-0.39910932269705013
12370.0,3545.69,2353.0,4.0,886.4225,588.25,143.0,309.0,50.0,1.855421686746988,0.0,0.7953645669942638
12371.0,1887.96,591.0,2.0,943.98,295.5,63.0,14.0,44.0,0.22580645161290322,0.0,-0.12490934444807208
12372.0,1298.04,794.0,3.0,432.68,264.6666666666667,34.0,224.0,71.0,4.392156862745098,0.0,-0.011392831389994362
12373.0,364.6,197.0,1.0,364.6,197.0,14.0,,310.0,,0.0,-0.2783524774987037
12374.0,742.9300000000001,342.0,1.0,742.9300000000001,342.0,33.0,,24.0,,0.0,0.07098429543689648
12375.0,455.42,177.0,2.0,227.71,88.5,14.0,87.0,10.0,5.4375,1.0,-0.5139487070987702
12377.0,1628.12,944.0,2.0,814.06,472.0,72.0,39.0,314.0,0.5131578947368421,0.0,0.0012249891373522282
12378.0,4008.62,2529.0,1.0,4008.62,2529.0,219.0,,129.0,,0.0,3.8835905689938914
12379.0,850.29,406.0,2.0,425.145,203.0,39.0,88.0,81.0,2.2564102564102564,1.0,-0.306686757876799
12380.0,2720.56,1126.0,4.0,680.14,281.5,77.0,164.0,21.0,1.5728155339805825,1.0,0.11523191145138059
12381.0,1803.96,783.0,5.0,360.79200000000003,156.6,70.0,115.0,4.0,1.313953488372093,4.0,-0.16062178040282227
12383.0,1839.31,1529.0,5.0,367.86199999999997,305.8,84.0,167.0,184.0,1.683673469387755,1.0,0.05972548963997217
12384.0,566.16,121.0,2.0,283.08,60.5,26.0,92.0,28.0,3.5384615384615383,3.0,-0.47352208876564816
